id_num,edge_id,edge_type
1,1,outer
1,2,outer
1,20130001,outer
1,20130002,outer
1,20130003,outer
1,20130004,outer
1,20130005,outer
1,20130006,outer
1,20130007,outer
1,20130008,outer
1,20130009,outer
1,20130010,outer
1,20130011,outer
1,20130012,outer
1,20130013,outer
1,20130014,outer
1,20130015,outer
1,20130016,outer
1,20130017,outer
1,20130018,outer
1,20130019,outer
1,20130020,outer
1,20130021,outer
1,20130022,outer
1,20130023,outer
1,20130024,outer
1,20130025,outer
1,20130026,outer
1,20130027,outer
1,20130028,outer
1,20130029,outer
1,20130030,outer
1,20130031,outer
1,20130032,outer
1,20130033,outer
1,20130034,outer
1,20130035,outer
1,20130036,outer
1,20130037,outer
1,20130038,outer
1,20130039,outer
1,20130040,outer
1,20130041,outer
1,20130042,outer
1,20130043,outer
1,20130044,outer
1,20130045,outer
1,20130046,outer
1,20130047,outer
1,20130048,outer
1,20130049,outer
1,20130050,outer
1,20130051,outer
1,20130052,outer
1,20130053,outer
1,20130054,outer
1,20130055,outer
1,20130056,outer
1,20130059,outer
1,20130064,outer
1,20130066,outer
1,20130069,outer
1,20130070,outer
1,20130071,outer
1,20130072,outer
1,20130073,outer
1,20130074,outer
1,20130076,outer
1,20130077,outer
1,20130079,outer
1,20130080,outer
1,20130081,outer
1,20130082,outer
1,20130083,outer
1,20130084,outer
1,20130085,outer
1,20130086,outer
1,20130087,outer
1,20130088,outer
1,20160001,outer
1,20160002,outer
1,20160003,outer
1,20160004,outer
1,20160005,outer
1,20160006,outer
1,20160007,outer
1,20160008,outer
1,20160009,outer
1,20160010,outer
1,20160011,outer
1,20160012,outer
1,20160013,outer
1,20160014,outer
1,20160015,outer
1,20160016,outer
1,20160017,outer
1,20160018,outer
1,20160019,outer
1,20160020,outer
1,20160021,outer
1,20160022,outer
1,20160023,outer
1,20160024,outer
1,20160025,outer
1,20160026,outer
1,20160027,outer
1,20160028,outer
1,20160029,outer
1,20160030,outer
1,20160031,outer
1,20160032,outer
1,20160033,outer
1,20160034,outer
1,20160035,outer
1,20160036,outer
1,20160037,outer
1,20160038,outer
1,20160039,outer
1,20160040,outer
1,20160041,outer
1,20160042,outer
1,20160043,outer
1,20160044,outer
1,20160045,outer
1,20160046,outer
1,20160047,outer
1,20160048,outer
1,20160049,outer
1,20160050,outer
1,20160051,outer
1,20160052,outer
1,20160053,outer
1,20160054,outer
1,20160055,outer
1,20160056,outer
1,20160057,outer
1,20160058,outer
1,20160059,outer
1,20160060,outer
1,20160061,outer
1,20160062,outer
1,20160063,outer
1,20160064,outer
1,20160065,outer
1,20160066,outer
1,20160067,outer
1,20160068,outer
1,20160069,outer
1,20160070,outer
1,20160071,outer
1,20160072,outer
1,20160073,outer
1,20160074,outer
1,20200001,outer
1,20200002,outer
1,20200003,outer
1,20200005,outer
1,20200007,outer
1,20200009,outer
1,20200011,outer
1,20200013,outer
1,20200017,outer
1,20200019,outer
1,20200020,outer
1,20500001,outer
1,20500002,outer
1,20500003,outer
1,20500004,outer
1,20500005,outer
1,20500006,outer
1,20500007,outer
1,20500009,outer
1,20500010,outer
1,20500011,outer
1,20500012,outer
1,20500013,outer
1,20500016,outer
1,20500017,outer
1,20500018,outer
1,20500019,outer
1,20500021,outer
1,20500022,outer
1,20500023,outer
1,20500024,outer
1,20500025,outer
1,20500026,outer
1,20500027,outer
1,20500028,outer
1,20500029,outer
1,20500030,outer
1,20500031,outer
1,20500032,outer
1,20500033,outer
1,20500034,outer
1,20500036,outer
1,20500038,outer
1,20500039,outer
1,20500041,outer
1,20500042,outer
1,20500043,outer
1,20500044,outer
1,20500045,outer
1,20500046,outer
1,20500048,outer
1,20500049,outer
1,20500050,outer
1,20500051,outer
1,20500052,outer
1,20500053,outer
1,20500054,outer
1,20500056,outer
1,20500057,outer
1,20500061,outer
1,20500065,outer
1,20600002,outer
1,20700001,outer
1,20700002,outer
1,20700003,outer
1,20700004,outer
1,20700009,outer
1,20700013,outer
1,20700016,outer
1,20700020,outer
1,20700043,outer
1,20700044,outer
1,20700045,outer
1,20700046,outer
1,20700047,outer
1,20700048,outer
1,20700049,outer
1,20700050,outer
1,20700051,outer
1,20700052,outer
1,20700053,outer
1,20700054,outer
1,20700055,outer
1,20700056,outer
1,20700057,outer
1,21000001,outer
1,21000005,outer
1,21000007,outer
1,21000009,outer
1,21000010,outer
1,21000011,outer
1,21000013,outer
1,21000014,outer
1,21000015,outer
1,21000016,outer
1,21000017,outer
1,21000018,outer
1,21000019,outer
1,21000020,outer
1,21000021,outer
1,21000022,outer
1,21000023,outer
1,21000024,outer
1,21000026,outer
1,21000027,outer
1,21000028,outer
1,21000029,outer
1,21000031,outer
1,21000033,outer
1,21000034,outer
1,21100001,outer
1,21100003,outer
1,21100004,outer
1,21100005,outer
1,21100006,outer
1,21100007,outer
1,21100008,outer
1,21100009,outer
1,21100010,outer
1,21100011,outer
1,21100012,outer
1,21100013,outer
1,21100014,outer
1,21100016,outer
1,21100017,outer
1,21100019,outer
1,21100021,outer
1,21100022,outer
1,21100023,outer
1,21100024,outer
1,21100026,outer
1,21100027,outer
1,21100028,outer
1,21100029,outer
1,21100030,outer
1,21100031,outer
1,21100033,outer
1,21100035,outer
1,21100037,outer
1,21100038,outer
1,21100040,outer
1,21100042,outer
1,21100044,outer
1,21100045,outer
1,21220003,outer
1,21220006,outer
1,21220007,outer
1,21220008,outer
1,21220009,outer
1,21220012,outer
1,21220013,outer
1,21220014,outer
1,21220015,outer
1,21220021,outer
1,21220028,outer
1,21220034,outer
1,21220036,outer
1,21220037,outer
1,21220038,outer
1,21220039,outer
1,21220040,outer
1,21220041,outer
1,21220042,outer
1,21220043,outer
1,21220044,outer
1,21220045,outer
1,21220046,outer
1,21220047,outer
1,21220048,outer
1,21220049,outer
1,21220050,outer
1,21220051,outer
1,21220052,outer
1,21220053,outer
1,21220054,outer
1,21220055,outer
1,21220056,outer
1,21220057,outer
1,21220058,outer
1,21220060,outer
1,21220061,outer
1,21220062,outer
1,21220063,outer
1,21220064,outer
1,21220065,outer
1,21220066,outer
1,21220067,outer
1,21220068,outer
1,21220069,outer
1,21220070,outer
1,21220071,outer
1,21220072,outer
1,21220073,outer
1,21220074,outer
1,21220075,outer
1,21220076,outer
1,21220077,outer
1,21220078,outer
1,21220079,outer
1,21220080,outer
1,21220081,outer
1,21220082,outer
1,21220083,outer
1,21220084,outer
1,21220085,outer
1,21220086,outer
1,21220087,outer
1,21220088,outer
1,21220089,outer
1,21220090,outer
1,21220091,outer
1,21220092,outer
1,21220094,outer
1,21220099,outer
1,21300001,outer
1,21300002,outer
1,21300003,outer
1,21300004,outer
1,21300005,outer
1,21300006,outer
1,21300007,outer
1,21300008,outer
1,21300009,outer
1,21300010,outer
1,21300011,outer
1,21300012,outer
1,21300013,outer
1,21300014,outer
1,21300015,outer
1,21300016,outer
1,21300017,outer
1,21300018,outer
1,21300019,outer
1,21300020,outer
1,21300021,outer
1,21300022,outer
1,21300023,outer
1,21300024,outer
1,21300025,outer
1,21300026,outer
1,21300027,outer
1,21300028,outer
1,21300029,outer
1,21300030,outer
1,21500001,outer
1,21500002,outer
1,21500004,outer
1,21500005,outer
1,21500006,outer
1,21500007,outer
1,21500010,outer
1,21500011,outer
1,21500013,outer
1,21500015,outer
1,21500016,outer
1,21500017,outer
1,21500018,outer
1,21500019,outer
1,21500020,outer
1,21500021,outer
1,21500022,outer
1,21500023,outer
1,21500024,outer
1,21500025,outer
1,21500026,outer
1,21500027,outer
1,21500028,outer
1,21500029,outer
1,21500030,outer
1,21500031,outer
1,21500032,outer
1,21500033,outer
1,21500034,outer
1,21500035,outer
1,21500036,outer
1,21500037,outer
1,21500038,outer
1,21500039,outer
1,21500040,outer
1,21500041,outer
1,21500042,outer
1,21500043,outer
1,21500044,outer
1,21500045,outer
1,21500046,outer
1,21500047,outer
1,21500048,outer
1,21500049,outer
1,21500050,outer
1,21500051,outer
1,21500052,outer
1,21500053,outer
1,21500054,outer
1,21500055,outer
1,21500056,outer
1,21500057,outer
1,21500058,outer
1,21500059,outer
1,21500060,outer
1,21500061,outer
1,21500062,outer
1,21500063,outer
1,21500064,outer
1,21500065,outer
1,21500066,outer
1,21500067,outer
1,21500068,outer
1,21500069,outer
1,21500070,outer
1,21500071,outer
1,21500072,outer
1,21500073,outer
1,21500074,outer
1,21500075,outer
1,21500076,outer
1,21500077,outer
1,21500078,outer
1,21500079,outer
1,21500080,outer
1,21500081,outer
1,21500082,outer
1,21500083,outer
1,21500084,outer
1,21500085,outer
1,21500086,outer
1,21500087,outer
1,21500088,outer
1,21500089,outer
1,21500090,outer
1,21500091,outer
1,21500092,outer
1,21500093,outer
1,21500094,outer
1,21500095,outer
1,21640003,outer
1,21640004,outer
1,21640007,outer
1,21640008,outer
1,21640009,outer
1,21640010,outer
